X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,ns3_TrackPointExtension
9.97642127797008,53.5673598200083,0,0,0,38.4000015258789,2019/03/06 17:41:11+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>17.0</ns3:atemp>          
9.97640937566757,53.5673478338867,0,0,1,38.5999984741211,2019/03/06 17:41:12+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>17.0</ns3:atemp>          
9.97638749890029,53.5673424694687,0,0,2,38.5999984741211,2019/03/06 17:41:13+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>17.0</ns3:atemp>          
9.97524194419384,53.5681716073304,0,0,3,38.2000007629395,2019/03/06 17:41:17+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>17.0</ns3:atemp>          
9.97558845207095,53.568373946473,0,0,4,37.7999992370605,2019/03/06 17:41:27+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>17.0</ns3:atemp>          
9.97548954561353,53.5685565881431,0,0,5,37,2019/03/06 17:41:31+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>17.0</ns3:atemp>          
9.97538150288165,53.5686330311,0,0,6,36.5999984741211,2019/03/06 17:41:33+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>17.0</ns3:atemp>          
9.97471773996949,53.5690046846867,0,0,7,37.2000007629395,2019/03/06 17:41:42+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>17.0</ns3:atemp>          
9.97453191317618,53.5691252164543,0,0,8,36.7999992370605,2019/03/06 17:41:45+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>17.0</ns3:atemp>          
9.97453870251775,53.5692195128649,0,0,9,35.5999984741211,2019/03/06 17:41:48+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>17.0</ns3:atemp>          
9.97467264533043,53.5692848078907,0,0,10,34.5999984741211,2019/03/06 17:41:50+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>17.0</ns3:atemp>          
9.97498587705195,53.5694260429591,0,0,11,34.2000007629395,2019/03/06 17:41:54+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>17.0</ns3:atemp>          
9.97564536519349,53.5698177292943,0,0,12,33.7999992370605,2019/03/06 17:42:02+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>16.0</ns3:atemp>          
9.97587896883488,53.5699773207307,0,0,13,33.5999984741211,2019/03/06 17:42:05+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>16.0</ns3:atemp>          
9.97609195299447,53.570120735094,0,0,14,33,2019/03/06 17:42:08+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>16.0</ns3:atemp>          
9.97642085887492,53.5704210586846,0,0,15,34.2000007629395,2019/03/06 17:42:14+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>16.0</ns3:atemp>          
9.97664825990796,53.5706327855587,0,0,16,34,2019/03/06 17:42:18+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>16.0</ns3:atemp>          
9.97688228264451,53.5707982443273,0,0,17,32.5999984741211,2019/03/06 17:42:21+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>16.0</ns3:atemp>          
9.97719450853765,53.5710134916008,0,0,18,31.3999996185303,2019/03/06 17:42:24+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>16.0</ns3:atemp>          
9.97786422260106,53.5714349336922,0,0,19,31.2000007629395,2019/03/06 17:42:31+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>16.0</ns3:atemp>          
9.97824635356665,53.5717614926398,0,0,20,30,2019/03/06 17:42:36+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>15.0</ns3:atemp>          
9.97853745706379,53.5720066633075,0,0,21,29.7999992370605,2019/03/06 17:42:40+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>15.0</ns3:atemp>          
9.97904028743505,53.5723442025483,0,0,22,29.3999996185303,2019/03/06 17:42:45+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>15.0</ns3:atemp>          
9.97931286692619,53.5724162030965,0,0,23,29.2000007629395,2019/03/06 17:42:47+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>15.0</ns3:atemp>          
9.97984570451081,53.572464985773,0,0,24,29.6000003814697,2019/03/06 17:42:51+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>15.0</ns3:atemp>          
9.98048549517989,53.5724636446685,0,0,25,30.3999996185303,2019/03/06 17:42:56+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>15.0</ns3:atemp>          
9.98148093000054,53.5724541731179,0,0,26,31.3999996185303,2019/03/06 17:43:04+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>15.0</ns3:atemp>          
9.9815971031785,53.5724483896047,0,0,27,31.6000003814697,2019/03/06 17:43:05+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>15.0</ns3:atemp>          
9.98215491883457,53.5724384151399,0,0,28,32.7999992370605,2019/03/06 17:43:10+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>14.0</ns3:atemp>          
